class_id,class_name,probes_hit,probes_total,pct
ff4e6291dadd0586,de/westnordost/streetcomplete/view/PresetIconIndexKt,701,701,100.0
1cd7634b2f0b87c2,de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt,269,273,98.53
3131e059c9e437fd,de/westnordost/streetcomplete/quests/QuestsModuleKt,162,162,100.0
a2ee19ad067ca03a,de/westnordost/streetcomplete/screens/main/MainFragment,122,808,15.1
9a8aa7f279829bf6,de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1,102,112,91.07
2b74a261c6b0287d,de/westnordost/streetcomplete/data/visiblequests/QuestPresetsModuleKt$questPresetsModule$1,89,105,84.76
b59e9ffee9afe821,de/westnordost/streetcomplete/screens/main/map/MapFragment,87,276,31.52
349c69c6b4acbd3d,de/westnordost/streetcomplete/data/user/UserModuleKt$userModule$1,81,91,89.01
d1475f78b517ffa3,de/westnordost/streetcomplete/data/OsmApiModuleKt$osmApiModule$1,78,82,95.12
c95963be7c6c1980,de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1,73,77,94.81
067d37e54dc97045,de/westnordost/streetcomplete/screens/MainActivity,71,222,31.98
21b0c112c4f67017,de/westnordost/streetcomplete/screens/main/map/LocationAwareMapFragment,69,209,33.01
e75e960914b87dae,de/westnordost/streetcomplete/screens/main/map/MainMapFragment,65,196,33.16
4e443bb82b93cdff,de/westnordost/streetcomplete/data/download/DownloadModuleKt$downloadModule$1,65,75,86.67
d94f4a3669b0bf4c,de/westnordost/streetcomplete/screens/main/map/TangramPinsSpriteSheet,65,73,89.04
ea7c336b73722c4f,de/westnordost/streetcomplete/util/ktx/DrawableKt,61,95,64.21
c988efd92dcb968c,de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievementsModule$1,58,62,93.55
75dce077495fee6b,de/westnordost/streetcomplete/screens/main/map/components/SceneMapComponent,57,84,67.86
041a95a1bce9a155,de/westnordost/streetcomplete/screens/main/controls/AnswersCounterFragment,56,87,64.37
85cc95c7f65adfce,de/westnordost/streetcomplete/data/osmnotes/NotesModuleKt$notesModule$1,55,57,96.49
86fcadf966c4ccd2,de/westnordost/streetcomplete/screens/user/achievements/AchievementFrameOutlineProvider,53,59,89.83
67fa3bdac08e640a,de/westnordost/streetcomplete/screens/main/map/tangram/KtMapController,50,263,19.01
b9418bb5edb7adeb,de/westnordost/streetcomplete/screens/main/map/TangramIconsSpriteSheet,50,50,100.0
1623eef8160cb6de,de/westnordost/streetcomplete/data/osm/mapdata/MapDataModuleKt$mapDataModule$1,47,49,95.92
2ec4c021551db2db,de/westnordost/streetcomplete/StreetCompleteApplication,47,64,73.44
1c338e4698ca59da,de/westnordost/streetcomplete/screens/main/controls/LocationStateButton,47,69,68.12
543464c82858b4cd,de/westnordost/streetcomplete/data/StreetCompleteSQLiteOpenHelper,45,111,40.54
5f8bd6349d7a5602,de/westnordost/streetcomplete/data/upload/UploadModuleKt$uploadModule$1,44,52,84.62
d4233b3fdfad0b0a,de/westnordost/streetcomplete/data/osmnotes/edits/NoteEditsModuleKt$noteEditsModule$1,43,51,84.31
ac5c0ba4851b0504,de/westnordost/streetcomplete/data/quest/QuestAutoSyncer,42,83,50.6
199caa846ff8bcdd,de/westnordost/streetcomplete/ApplicationModuleKt$appModule$1,41,45,91.11
759f992b7c42f3ed,de/westnordost/streetcomplete/data/osm/geometry/ElementGeometryModuleKt$elementGeometryModule$1,39,39,100.0
55701b77104fbf5d,de/westnordost/streetcomplete/data/ObjectTypeRegistry,38,53,71.7
7d236bfb9bf9c104,de/westnordost/streetcomplete/data/meta/MetadataModuleKt$metadataModule$1,38,46,82.61
f9eb3ae1d49ce3d2,de/westnordost/streetcomplete/StreetCompleteApplication$onCreate$1,37,37,100.0
2c78062860aa9d8c,de/westnordost/streetcomplete/screens/main/controls/UndoButtonFragment,36,107,33.64
5e863ee8cfab14a4,de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestModuleKt$osmNoteQuestModule$1,35,41,85.37
8e0cf7c8a1123c3b,de/westnordost/streetcomplete/data/osm/osmquests/OsmQuestModuleKt$osmQuestModule$1,34,38,89.47
b0076a00d620969f,de/westnordost/streetcomplete/screens/main/map/components/TracksMapComponent,33,53,62.26
57b159fecc9167bb,de/westnordost/streetcomplete/screens/main/map/QuestPinsManager,31,165,18.79
0cf022b96947294f,de/westnordost/streetcomplete/data/edithistory/EditHistoryController,31,88,35.23
6b11452ef1d6a169,de/westnordost/streetcomplete/data/osm/edits/MapDataWithEditsSource,31,349,8.88
9d16211025fae2f9,de/westnordost/streetcomplete/data/osm/edits/ElementEditsDao$json$1,30,30,100.0
e7ba870480f50f7a,de/westnordost/streetcomplete/screens/main/teammode/TeamModeColorCircleView,30,35,85.71
ed142bbcf76190c6,de/westnordost/streetcomplete/screens/main/controls/MessagesButtonFragment,29,80,36.25
016e4f20f7b73122,de/westnordost/streetcomplete/data/osm/created_elements/CreatedElementsModuleKt$createdElementsModule$1,27,31,87.1
3d05d856fb1d4f87,de/westnordost/streetcomplete/data/overlays/OverlayModuleKt$overlayModule$1,27,31,87.1
cefdf240712bf170,de/westnordost/streetcomplete/screens/main/map/MapModuleKt$mapModule$1,27,31,87.1
d7a5840e101df4d8,de/westnordost/streetcomplete/screens/main/map/Compass,27,83,32.53
b30dc162568c84a3,de/westnordost/streetcomplete/screens/main/map/tangram/Marker,26,86,30.23
4734c320441ad3c9,de/westnordost/streetcomplete/quests/QuestsModuleKt$questsModule$1,26,28,92.86
9a2d9538c09e4203,de/westnordost/streetcomplete/data/osm/osmquests/OsmQuestController,26,298,8.72
27e0142ee3462675,de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestController,26,155,16.77
da4768791d9d70aa,de/westnordost/streetcomplete/screens/main/PointerPinView,26,80,32.5
7c78197b55d490ca,de/westnordost/streetcomplete/data/AndroidDatabase,25,92,27.17
6e8569b662854505,de/westnordost/streetcomplete/screens/main/map/components/CurrentLocationMapComponent,25,77,32.47
8239f60ad2b0bf8d,de/westnordost/streetcomplete/databinding/FragmentTutorialBinding,25,57,43.86
39be342ef5f2b3f6,de/westnordost/streetcomplete/data/messages/MessagesSource,25,63,39.68
e3f54dad64a2e3f9,de/westnordost/streetcomplete/data/osm/edits/ElementEditsController,23,167,13.77
44c2029059e259a0,de/westnordost/streetcomplete/screens/settings/NumberPickerPreference,23,42,54.76
8a38bba6ab5aacd3,de/westnordost/streetcomplete/screens/tutorial/TutorialFragment,23,55,41.82
634e1a0ebd48b117,de/westnordost/streetcomplete/databinding/FragmentMainBinding,22,51,43.14
e4ac8a0d2bfcf5a7,de/westnordost/streetcomplete/data/Preloader,21,24,87.5
1dc9b20eba15b0a6,de/westnordost/streetcomplete/data/user/achievements/AchievementsController,21,201,10.45
caf8a01c9f6e626e,de/westnordost/streetcomplete/data/maptiles/MapTilesDownloadCacheConfig,21,27,77.78
45a05fb235f9c766,de/westnordost/streetcomplete/data/edithistory/EditHistoryModuleKt$editHistoryModule$1,20,24,83.33
e636036234bee965,de/westnordost/streetcomplete/screens/main/controls/UploadButtonFragment,20,76,26.32
c35dcb0fba0dd83a,de/westnordost/streetcomplete/data/messages/MessagesModuleKt$messagesModule$1,20,24,83.33
2de6d064ea1974d1,de/westnordost/streetcomplete/util/location/FineLocationManager,20,47,42.55
ed287601acb9e31f,de/westnordost/streetcomplete/data/DbModuleKt$dbModule$1,20,24,83.33
e72594c2a3904d1a,de/westnordost/streetcomplete/overlays/OverlaysModuleKt$overlaysModule$1$1,20,20,100.0
4d670fa7832397e0,de/westnordost/streetcomplete/screens/main/controls/AnswersCounterView,20,46,43.48
a33150e8c3e126e5,de/westnordost/streetcomplete/data/quest/QuestModuleKt$questModule$1,20,24,83.33
14cbf625e1b3f5cb,de/westnordost/streetcomplete/data/maptiles/MaptilesModuleKt$maptilesModule$1,19,21,90.48
6a34e6a2155999b7,de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$9,18,18,100.0
e20306c19696c22d,de/westnordost/streetcomplete/data/Database$DefaultImpls,18,70,25.71
73a0509aa0c50630,de/westnordost/streetcomplete/data/quest/VisibleQuestsSource,18,108,16.67
8d07ebe619800092,de/westnordost/streetcomplete/quests/wheelchair_access/AddWheelchairAccessBusiness,18,33,54.55
4598f6a408120390,de/westnordost/streetcomplete/quests/surface/AddRoadSurface,17,31,54.84
df0603ba11943436,de/westnordost/streetcomplete/data/osm/mapdata/MapDataCache,17,583,2.92
1da657bc3156e8c1,de/westnordost/streetcomplete/data/download/DownloadController,17,39,43.59
fba67d0c06bcbc0b,de/westnordost/streetcomplete/data/upload/UploadController,17,31,54.84
993bdf04965ab380,de/westnordost/streetcomplete/data/quest/QuestModuleKt$questModule$1$1,16,16,100.0
b756831ea2d8f064,de/westnordost/streetcomplete/screens/main/controls/MainMenuButtonFragment,16,87,18.39
80954efb12747ae5,de/westnordost/streetcomplete/osm/surface/SurfaceUtilsKt,16,85,18.82
79567979722d751e,de/westnordost/streetcomplete/screens/user/achievements/AchievementInfoFragment,16,247,6.48
1f058173425d3b59,de/westnordost/streetcomplete/data/user/achievements/EditTypeAchievement,15,17,88.24
9c9ebd786bf113dc,de/westnordost/streetcomplete/databinding/FragmentAchievementInfoBinding,14,35,40.0
dec961f88e79f4e4,de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievementsModule$1$7,14,14,100.0
b5e37a6d46231c58,de/westnordost/streetcomplete/screens/main/controls/MessagesButton,14,20,70.0
a5014fd3377b4b9f,de/westnordost/streetcomplete/data/osmnotes/edits/NotesWithEditsSource,14,103,13.59
01cfd45beca3a69c,de/westnordost/streetcomplete/screens/main/map/tangram/TouchGestureManager,14,26,53.85
114b6e224a015461,de/westnordost/streetcomplete/data/visiblequests/QuestTypeOrderController,13,106,12.26
3fca0400ef680edc,de/westnordost/streetcomplete/screens/main/map/tangram/CameraManager,13,158,8.23
f67b7c6d71f480cd,de/westnordost/streetcomplete/util/location/LocationRequestFragment,13,94,13.83
d371426a104efa1c,de/westnordost/streetcomplete/util/ktx/ContextKt,13,75,17.33
57dea6724f8cb353,de/westnordost/streetcomplete/quests/QuestsModuleKt$questsModule$1$3,13,13,100.0
f79b0c4d1c1267d4,de/westnordost/streetcomplete/screens/settings/SettingsModuleKt$settingsModule$1,12,14,85.71
43bc082f64025fe4,de/westnordost/streetcomplete/data/urlconfig/UrlConfigModuleKt$urlConfigModule$1,12,14,85.71
0613982880a5f619,de/westnordost/streetcomplete/overlays/OverlaysModuleKt$overlaysModule$1,12,14,85.71
a03b9ea0045a6b4e,de/westnordost/streetcomplete/screens/main/map/tangram/KtMapControllerKt,12,19,63.16
1077f6551687d102,de/westnordost/streetcomplete/data/osm/mapdata/MapDataModuleKt$mapDataModule$1$6,12,12,100.0
288dc4208f34123e,de/westnordost/streetcomplete/data/osmnotes/edits/NoteEditsController,12,99,12.12
25392b47f1cf7e52,de/westnordost/streetcomplete/JacocoInstrument/JacocoInstrumentation,12,53,22.64
52473cf1945110d6,de/westnordost/streetcomplete/data/osm/osmquests/OsmQuestModuleKt$osmQuestModule$1$4,12,12,100.0
f3603e244ddb42ed,de/westnordost/streetcomplete/overlays/shops/ShopsOverlay,12,26,46.15
165f457dd5906c45,de/westnordost/streetcomplete/screens/main/map/StyleableOverlayManager,12,131,9.16
38063a801ad35373,de/westnordost/streetcomplete/data/user/OAuthStore,12,34,35.29
0cb911c8b8a42e1e,de/westnordost/streetcomplete/screens/main/MainModuleKt$mainModule$1,12,14,85.71
285e24f6fb492b96,de/westnordost/streetcomplete/screens/main/PointerPinView$2,12,12,100.0
7da62609bfb6b992,de/westnordost/streetcomplete/screens/main/map/MapFragment$onStart$1,12,18,66.67
5dce7a36c23842d4,de/westnordost/streetcomplete/data/upload/UploadModuleKt$uploadModule$1$2,12,12,100.0
4715beac4dbda3c2,de/westnordost/streetcomplete/util/location/LocationAvailabilityReceiver,12,25,48.0
715a0ad412fb5909,de/westnordost/streetcomplete/quests/oneway_suspects/data/TrafficFlowSegmentsModuleKt$trafficFlowSegmentsModule$1,11,11,100.0
e8e517936fae0850,de/westnordost/streetcomplete/screens/main/map/tangram/MarkerManager,11,69,15.94
654a2b61a12fc78a,de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1$9,11,11,100.0
db56f2ff63f6a026,de/westnordost/streetcomplete/data/osmnotes/edits/NoteEditsModuleKt$noteEditsModule$1$2,11,11,100.0
d1c33eea9f6522ed,de/westnordost/streetcomplete/data/quest/QuestModuleKt$questModule$1$2,11,11,100.0
a93207ade98bda57,de/westnordost/streetcomplete/screens/measure/ArModuleKt$arModule$1,11,11,100.0
99f6aa2339bbcff8,de/westnordost/streetcomplete/screens/main/map/DownloadedAreaManager,11,24,45.83
4aca4482273ccccb,de/westnordost/streetcomplete/data/osm/mapdata/MapDataController,11,280,3.93
0ae027a5cdcb5565,de/westnordost/streetcomplete/util/ktx/SharedPreferencesKt,11,19,57.89
53836c5302022306,de/westnordost/streetcomplete/data/UnsyncedChangesCountSource,11,29,37.93
d9223586ff3f6af7,de/westnordost/streetcomplete/overlays/surface/SurfaceOverlay,10,24,41.67
29564d3e17692936,de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestModuleKt$osmNoteQuestModule$1$4,10,10,100.0
a03758e71a5cf1a3,de/westnordost/streetcomplete/util/FragmentViewBindingPropertyDelegate,10,18,55.56
bd82072e62c57d8d,de/westnordost/streetcomplete/overlays/address/AddressOverlay,10,29,34.48
5ed04bb9fe2a7c7d,de/westnordost/streetcomplete/screens/main/map/EditHistoryPinsManager,10,49,20.41
9e92d0e9194f78a1,de/westnordost/streetcomplete/screens/main/map/components/TracksMapComponentKt,10,11,90.91
10c411ce4e514762,de/westnordost/streetcomplete/screens/main/map/MapModuleKt$mapModule$1$2,9,9,100.0
598787fc1e980088,de/westnordost/streetcomplete/data/edithistory/EditHistoryModuleKt$editHistoryModule$1$2,9,9,100.0
c7f85d0df8bf82c7,de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1$8,9,9,100.0
0e8f117182c3b43a,de/westnordost/streetcomplete/data/OsmApiModuleKt$osmApiModule$1$6,9,9,100.0
51b2d26ec0f9882b,de/westnordost/streetcomplete/data/messages/MessagesModuleKt$messagesModule$1$1,9,9,100.0
0347d692a9f34f36,de/westnordost/streetcomplete/Prefs$Theme,9,9,100.0
0d10113e34255c42,de/westnordost/streetcomplete/data/upload/UploadService,9,50,18.0
44690de98a997ff5,de/westnordost/streetcomplete/data/user/statistics/StatisticsController,9,163,5.52
d55197b386aef9ee,de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1$11,9,9,100.0
585c8cc612fbc938,de/westnordost/streetcomplete/util/ktx/ViewKt,9,86,10.47
cc391ef974e4b9c9,de/westnordost/streetcomplete/data/messages/QuestSelectionHintController,9,21,42.86
61121f314d380b25,de/westnordost/streetcomplete/screens/main/controls/MessagesButtonFragment$onStart$1,8,12,66.67
0f1b302fe23b35db,de/westnordost/streetcomplete/data/visiblequests/QuestPresetsModuleKt$questPresetsModule$1$7,8,8,100.0
0d89c61fda4ac107,de/westnordost/streetcomplete/data/Preloader$preload$2$1,8,12,66.67
599cd78721c066e1,de/westnordost/streetcomplete/data/Preloader$preload$2,8,9,88.89
70bf6afbe8499b62,de/westnordost/streetcomplete/quests/lanes/AddLanes,8,61,13.11
40282b95da619859,de/westnordost/streetcomplete/screens/main/controls/UndoButtonFragment$onStart$1,8,12,66.67
d8ede2271bad9885,de/westnordost/streetcomplete/screens/main/controls/AnswersCounterFragment$onStart$1,8,12,66.67
89adbd1b9652b30b,de/westnordost/streetcomplete/util/SpatialCache,8,168,4.76
6fead5e767278cd4,de/westnordost/streetcomplete/data/Preloader$preloadFeatureDictionary$2,8,11,72.73
f8e0e06b861d6cd4,de/westnordost/streetcomplete/data/osm/edits/ElementEditsModuleKt$elementEditsModule$1$2,8,8,100.0
1260d763ae269154,de/westnordost/streetcomplete/data/Preloader$preloadCountryBoundaries$2,8,11,72.73
