app,apk,package,installed,launched,ec_bytes,classes_found,line_coverage_pct,mismatched_classes,html_pages,verdict,seconds
AmazeFileManager,AmazeFileManager-3.4.2-#1837-rebuilt.apk,com.amaze.filemanager.debug,yes,yes,0,997,,,0,NO EC FILE,831
AmazeFileManager,AmazeFileManager-3.4.2-#1837-rebuilt.apk,com.amaze.filemanager.debug,yes,yes,8690,997,13.08,0,253,PASS,91
FirefoxLite,FirefoxLite-2.1.20-#5085-rebuilt.apk,org.mozilla.rocket.debug.ubuntu,yes,yes,60184,3490,13.72,0,400,PASS,97
MaterialFBook,MaterialFBook4.0.2-debug-#224.apk,me.zeeroooo.materialfb,yes,yes,1405,55,19.24,0,28,PASS,98
Omni-Notes,Omni-Notes-6.1.0-#745-rebuilt.apk,it.feio.android.omninotes,yes,yes,3659,778,10.58,0,152,PASS,69
Twire,Twire-#v2.10.7-rebuilt.apk,com.perflyst.twire.debug,yes,yes,14451,324,2.67,0,117,PASS,74
geohashdroid,geohashdroid-0.9.4-#73-rebuilt.apk,net.exclaimindustries.geohashdroid,yes,yes,3076,324,17.78,0,53,PASS,84
geohashdroid,geohashdroid-0.9.4-#73.apk,net.exclaimindustries.geohashdroid,yes,yes,3078,324,17.78,0,53,PASS,79
nextcloud,nextcloud-#4792-rebuilt.apk,com.nextcloud.client,yes,yes,19912,1884,8.63,0,328,PASS,82
openlauncher,openlauncher-0.3.1-#67-rebuilt.apk,com.benny.openlauncher,yes,yes,423,494,2.35,0,50,PASS,60
openlauncher,openlauncher-0.3.1-#67.apk,com.benny.openlauncher,yes,yes,423,494,2.35,0,50,PASS,56
